THICKNESS (CM),BASE BOUNDARY,LITHOLOGY,LITHOLOGY %,LITHOLOGY2,LITHOLOGY2 %,LITHOLOGY3,LITHOLOGY3 %,GRAIN SIZE BASE,PHI VALUES BASE,GRAIN SIZE TOP,PHI VALUES TOP,SYMBOLS IN BED,SYMBOLS/STRUCTURES,NOTES COLUMN,BIOTURBATION TYPE,INTENSITY,PALAEOCURRENT VALUES,FACIES,OTHER1 TEXT,OTHER1 SYMBOL,OTHER2 TEXT,OTHER2 SYMBOL,OTHER3 TEXT,OTHER3 SYMBOL
9.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
30.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
9.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
12.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
15.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
9.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
9.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Mudstone,100,<none>,0,<none>,0,silt,0.0,silt,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,f,0.0,f,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,f,0.0,f,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
18.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
11.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
30.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
18.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
18.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
75.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,vf,0.0,vf,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
1.0,<none>,Sandstone,100,<none>,0,<none>,0,vf,0.0,vf,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
24.0,<none>,Sandstone,100,<none>,0,<none>,0,vf,0.0,vf,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
22.0,<none>,Sandstone,100,<none>,0,<none>,0,vf,0.0,vf,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
34.0,<none>,Mudstone,100,<none>,0,<none>,0,silt,0.0,silt,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
2.0,<none>,Mudstone,100,<none>,0,<none>,0,silt,0.0,silt,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
4.0,<none>,Mudstone,100,<none>,0,<none>,0,silt,0.0,silt,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
4.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
1.0,<none>,Mudstone,100,<none>,0,<none>,0,silt,0.0,silt,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
1.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
2.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
62.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
34.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
2.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
99.0,<none>,Dolomite,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
